date,open,high,low,close,volume
2020-06-15,232.44,239.45,231.47,238.75,45307371
2020-06-16,243.78,244.39,239.1,242.85,48890095
2020-06-17,244.4,245.5,242.73,243.62,34749268
2020-06-18,243.29,244.53,242.49,244.28,30578648
2020-06-19,246.74,247.0,242.45,244.24,49422112
2020-06-08,239.54,241.68,237.91,241.55,32937305
2020-06-09,240.66,244.18,240.47,243.3,35046254
2020-06-10,245.0,247.81,244.51,246.22,58084410
2020-06-11,242.29,243.59,233.96,234.02,72919442
2020-06-12,239.09,240.4,231.74,235.88,72034787
2017-01-03,119.31,119.99,118.89,119.54,22307608
2017-01-04,119.67,120.41,119.66,120.19,19749074
2017-01-05,120.16,120.95,120.1,120.87,20644254
2017-01-06,120.99,122.25,120.69,121.93,24074305
2017-01-09,122.03,122.55,121.95,122.33,18909234
2017-01-10,122.37,122.97,122.1,122.6,16176631
2017-01-11,122.63,122.93,122.02,122.93,20685983
2017-01-12,122.49,122.82,121.6,122.74,19622511
2017-01-13,122.81,123.37,122.8,123.16,16930803
2017-01-17,122.79,123.03,122.43,122.79,14538484
2017-01-18,122.96,123.16,122.66,123.04,12499663
2017-01-19,123.19,123.65,122.72,122.98,12710659
2017-01-20,123.51,123.83,122.92,123.25,22091039
2017-01-23,123.16,123.53,122.57,123.35,17434167
2017-01-24,123.59,124.37,123.38,124.18,17640869
2017-01-25,124.94,125.46,124.85,125.43,15036221
2017-01-26,125.59,125.82,125.34,125.56,16052150
2017-01-27,125.8,125.92,125.39,125.8,15052983
2017-01-30,125.37,125.38,124.13,124.82,25006715
2017-01-31,124.4,124.6,123.85,124.57,19091133
2017-02-01,125.42,125.68,124.86,125.43,22861876
2017-02-02,125.21,125.7,124.86,125.32,15101363
2017-02-03,125.49,125.81,125.33,125.68,16957154
2017-02-06,125.42,125.85,125.35,125.83,11630139
2017-02-07,126.06,126.55,125.97,126.29,17541101
2017-02-08,126.12,126.68,125.88,126.5,12569147
2017-02-09,126.63,127.24,126.56,126.96,17542726
2017-02-10,127.2,127.56,127.02,127.38,13915697
2017-02-13,127.76,128.26,127.72,128.1,19120150
2017-02-14,128.15,128.53,127.74,128.53,16333480
2017-02-15,128.44,129.35,128.37,129.29,17891355
2017-02-16,129.36,129.63,128.92,129.25,15098286
2017-02-17,129.09,129.82,129.04,129.81,15563730
2017-02-21,130.03,130.53,129.99,130.45,18479628
2017-02-22,130.32,130.59,130.11,130.5,12110876
2017-02-23,130.7,130.7,129.49,130.01,17489023
2017-02-24,129.47,130.26,129.38,130.26,18624489
2017-02-27,130.02,130.43,129.8,130.42,12008672
2017-02-28,130.39,130.45,129.66,130.02,16598581
2017-03-01,130.81,131.68,130.6,131.44,25813827
2017-03-02,131.43,131.43,130.62,130.78,19951386
2017-03-03,130.65,131.06,130.34,131.02,13722749
2017-03-06,130.56,130.95,130.21,130.73,12026151
2017-03-07,130.45,131.08,130.28,130.51,15500945
2017-03-08,130.57,131.15,130.46,130.74,15776027
2017-03-09,130.71,131.02,130.14,130.84,20855253
2017-03-10,131.42,131.6,130.82,131.39,21922601
2017-03-13,131.34,131.64,131.27,131.61,10731575
2017-03-14,131.31,131.36,130.76,131.29,14019689
2017-03-15,131.58,132.41,131.14,132.1,22709139
2017-03-16,132.33,132.35,131.71,132.01,18457291
