date,open,high,low,close,volume
2017-01-03,142.92,143.44,141.51,143.4,518619
2017-01-04,143.61,144.59,143.19,144.22,410104
2017-01-05,143.09,145.48,142.03,145.29,451041
2017-01-06,144.73,145.8,144.03,144.49,414016
2017-01-09,144.94,145.01,142.54,142.68,365009
2017-01-10,142.41,142.48,140.79,141.19,394370
2017-01-11,141.01,141.87,139.6,139.77,309445
2017-01-12,139.77,140.65,138.89,140.62,329599
2017-01-13,140.09,140.88,139.34,140.18,300683
2017-01-17,140.69,141.5,140.58,141.29,378542
2017-01-18,141.56,141.72,140.36,141.53,289062
2017-01-19,141.0,141.0,138.98,139.25,279025
2017-01-20,139.39,140.82,139.25,140.72,313214
2017-01-23,140.21,142.0,140.21,141.72,259426
2017-01-24,141.74,142.42,140.38,140.96,411316
2017-01-25,141.12,141.58,140.01,140.77,414768
2017-01-26,140.85,141.62,140.29,140.8,295271
2017-01-27,141.28,141.28,139.17,139.69,279484
2017-01-30,139.05,139.89,138.35,139.14,319991
2017-01-31,139.44,140.75,139.33,140.43,1552153
2017-02-01,139.73,140.48,137.04,137.5,557859
2017-02-02,137.75,140.12,137.71,140.11,434185
2017-02-03,140.82,141.25,139.27,139.94,325240
2017-02-06,139.91,140.5,139.35,139.79,253304
2017-02-07,140.19,140.68,139.11,139.68,315050
2017-02-08,139.74,140.69,139.4,140.33,297576
2017-02-09,140.47,142.08,140.02,142.02,283495
2017-02-10,141.6,142.99,141.54,142.96,251891
2017-02-13,143.32,143.32,141.54,142.95,347106
2017-02-14,142.12,143.0,140.01,141.08,512118
2017-02-15,140.1,140.84,139.13,139.98,489344
2017-02-16,140.34,141.5,140.15,140.5,304694
2017-02-17,140.91,141.2,139.26,140.66,378090
2017-02-21,140.51,142.68,140.16,142.5,440724
2017-02-22,142.27,143.24,140.62,141.55,350817
2017-02-23,142.21,142.77,141.32,142.4,357484
2017-02-24,142.67,142.67,141.32,142.34,332538
2017-02-27,142.69,143.79,141.6,142.22,362891
2017-02-28,142.33,142.33,140.12,140.73,418551
2017-03-01,139.89,140.0,138.3,138.97,627133
2017-03-02,138.37,138.55,136.2,136.76,584793
2017-03-03,137.12,137.18,134.08,135.02,549367
2017-03-06,135.01,135.01,134.0,134.3,416170
2017-03-07,134.39,134.77,132.91,133.39,322991
2017-03-08,132.65,133.15,130.16,130.5,540064
2017-03-09,130.56,131.24,127.29,127.44,523003
2017-03-10,127.33,128.18,126.02,126.98,659274
2017-03-13,128.58,128.58,126.99,128.32,597730
2017-03-14,128.0,130.06,127.61,129.62,654038
2017-03-15,129.9,133.59,129.62,133.02,527112
2017-03-16,132.7,133.36,132.24,133.0,555027
2017-03-17,133.72,134.9,132.91,134.75,1347727
2017-03-20,134.71,135.5,133.87,134.44,545817
2017-03-21,134.38,135.09,133.71,134.67,691347
2017-03-22,134.68,135.58,131.91,133.11,658667
2017-03-23,133.0,135.92,132.81,134.73,485268
2017-03-24,134.76,135.52,134.41,134.8,395625
2017-03-27,134.47,135.87,132.26,132.74,675174
2017-03-28,132.73,133.55,131.36,133.26,519016
2017-03-29,132.97,133.7,132.43,133.15,491404
2017-03-30,132.94,133.54,132.01,133.34,289951
2017-03-31,133.34,134.0,132.36,133.5,416920
2017-04-03,133.5,134.85,133.42,133.84,406028
2017-04-04,133.62,134.27,133.0,133.11,345175
2017-04-05,133.43,133.84,132.71,133.11,278371
2017-04-06,132.77,133.7,132.23,133.11,341645
2017-04-07,133.08,133.56,132.45,132.73,393161
2017-04-10,132.67,134.31,132.32,133.95,347687
2017-04-11,134.0,135.79,133.94,135.08,410708
